,latitude,longitude
2022-05-14 21:00:38,77.923467,-8.683282
2022-05-14 21:30:26,77.921431,-8.688912
2022-05-14 22:00:37,77.919546,-8.694057
2022-05-14 22:30:40,77.917884,-8.698983
2022-05-14 23:00:39,77.916325,-8.702868
2022-05-14 23:30:39,77.914889,-8.705564
2022-05-15 00:00:38,77.91362,-8.707519
2022-05-15 00:30:29,77.91249,-8.708296
2022-05-15 01:00:39,77.911414,-8.708108
2022-05-15 01:30:38,77.910411,-8.707252
2022-05-15 02:00:38,77.909411,-8.705702
2022-05-15 02:30:38,77.908315,-8.703609
2022-05-15 03:00:39,77.907147,-8.701503
2022-05-15 03:30:27,77.905857,-8.699535
2022-05-15 04:00:38,77.904464,-8.697898
2022-05-15 04:30:39,77.902979,-8.696909
2022-05-15 05:00:38,77.901358,-8.696657
2022-05-15 05:30:39,77.899592,-8.697162
2022-05-15 06:00:39,77.897654,-8.698401
2022-05-15 06:30:27,77.89565,-8.700356
2022-05-15 07:00:37,77.893561,-8.703104
2022-05-15 07:30:38,77.891459,-8.706273
2022-05-15 08:00:39,77.889363,-8.709572
2022-05-15 08:30:38,77.887356,-8.71366
2022-05-15 09:00:37,77.885294,-8.717634
2022-05-15 09:30:27,77.883287,-8.721662
2022-05-15 10:00:38,77.881445,-8.725134
2022-05-15 10:30:37,77.879828,-8.727868
2022-05-15 11:00:38,77.878429,-8.729641
2022-05-15 11:30:38,77.877219,-8.730351
2022-05-15 12:00:39,77.876178,-8.729906
2022-05-15 12:30:28,77.875222,-8.728707
2022-05-15 13:00:37,77.874268,-8.726609
2022-05-15 13:30:38,77.873303,-8.723803
2022-05-15 14:00:38,77.872296,-8.720477
2022-05-15 14:30:38,77.871166,-8.716835
2022-05-15 15:00:38,77.869931,-8.713205
2022-05-15 15:30:28,77.868532,-8.709715
2022-05-15 16:00:38,77.866927,-8.706287
2022-05-15 16:30:39,77.865138,-8.703383
2022-05-15 17:00:39,77.863215,-8.70119
2022-05-15 17:30:40,77.861187,-8.699824
2022-05-15 18:00:39,77.859112,-8.699551
2022-05-15 18:30:26,77.857053,-8.700072
2022-05-15 19:00:38,77.854965,-8.701594
